Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
sandbox,Success,2,1,2024-05-15 08:55:01 +0100,2024-05-15 08:55:12 +0100,0:00:03
test cases/testcase1,Success,1,0,2024-05-15 08:43:03 +0100,2024-05-15 08:43:03 +0100,0:00:06
